kegg_id,metatlas_inchi_key
C06573,APKFDSVGJQXUKY-INPOYWNPSA-N
C05703,APKHDKJWSHYLEU-UHFFFAOYSA-N
C10125,APKLQIQRPUDADG-GFCCVEGCSA-N
C01275,APKXMKWCGDBYNV-AATRIKPKSA-N
C16149,APKXMKWCGDBYNV-WAYWQWQTSA-N
C09897,APLHEOBEIBHCHW-SEQYCRGISA-N
C10869,APLLVFVOTXZBFO-RUJICJSRSA-N
C06201,APNIDHDQYISZAE-HYXAFXHYSA-N
C06201,APNIDHDQYISZAE-UHFFFAOYSA-N
C02061,APNQQQRDLMWNLM-UHFFFAOYSA-N
C11117,APOPSBQCJFDMQQ-UHFFFAOYSA-N
C10099,APPXYONGBIXGRO-AIQWNVMPSA-N
C18149,APQHKWPGGHMYKJ-UHFFFAOYSA-N
C18130,APSUXPSYBJVPPS-YAUKWVCOSA-N
C10944,APSXSFZATMGGAT-HCFISPQYSA-N
C14486,APTGJECXMIKIET-WOSSHHRXSA-N
C07347,APTYNAZODMUFPO-CITAKDKDSA-N
C18554,APTZNLHMIGJTEW-UHFFFAOYSA-N
C02509,APVQTUURIRQYIT-NRJACJQQSA-N
C16272,APWDZEIBFNZVND-UHFFFAOYSA-N
C16543,APWFTHDYKJHNEV-NDEPHWFRSA-N
C16945,APWLDLGOYJHNIK-YUELXQCFSA-N
C05452,APYVEUGLZHAHDJ-TVRYRFOISA-N
C09419,AQASRZOCERRGBL-ROJLCIKYSA-N
C10535,AQBZCCQCDWNNJQ-AUSIDOKSSA-N
C11193,AQHHHDLHHXJYJD-CQSZACIVSA-N
C07407,AQHHHDLHHXJYJD-UHFFFAOYSA-N
C14992,AQIYOMKPFQCODB-NHUSPQTBSA-N
C15220,AQJFATAFTQCRGC-UHFFFAOYSA-N
C15320,AQKQDPGSWSFRHL-PJHHCJLFSA-N
C15094,AQTITSBNGSVQNZ-UHFFFAOYSA-N
C01624,AQTKGZASUQVMEJ-UHFFFAOYSA-N
C11546,AQTKXCPRNZDOJU-SYHAXYEDSA-N
C11546,AQTKXCPRNZDOJU-ZEBDFXRSSA-N
C15237,AQUURYCVTGVYBO-UHFFFAOYSA-N
C14843,AQVKHRQMAUJBBP-UHFFFAOYSA-N
C14974,AQYZEWWPIBKYCF-BTOHRNCKSA-N
C10087,AQZHBCDRWFMXIN-UHFFFAOYSA-N
C18011,ARBHCEGTLUXZRX-YNRRLODASA-N
C03771,ARBHXJXXVVHMET-UHFFFAOYSA-N
C16014,ARCJQKUWGAZPFX-OKILXGFUSA-N
C08002,ARFHIAQFJWUCFH-IZZDOVSWSA-N
C04167,ARGFAPRYULRPAN-RYUDHWBXSA-N
C09806,ARGKVCXINMKCAZ-BKCQJFQGSA-N
C01136,ARGXEXVCHMNAQU-UHFFFAOYSA-N
C18170,ARJPPNFIEQKVBB-UHFFFAOYSA-N
C17582,ARLIVUJSSKFVPL-JPYLPOILSA-N
C11584,ARQXEQLMMNGFDU-JHZZJYKESA-N
C06551,ARSJQOAYGVNWEK-MLCWLASSSA-N
C19488,ARSRBNBHOADGJU-UHFFFAOYSA-N
C10192,ARSRJFRKVXALTF-UHFFFAOYSA-N
C16856,ARSXTTJGWGCRRR-XXKOCQOQSA-N
C15787,ARYTXMNEANMLMU-ATEDBJNTSA-N
C19180,ARZWATDYIYAUTA-UHFFFAOYSA-N
C10709,ASABIRFQGVWRDC-LURJTMIESA-N
C02635,ASBJGPTTYPEMLP-REOHCLBHSA-N
C00988,ASCFNMCAHFUBCO-UHFFFAOYSA-N
C10134,ASJDJBXXEHTEBW-GPTQDWHKSA-N
C01801,ASJSAQIRZKANQN-UHFFFAOYSA-N
C04486,ASKPCVROMAYWEF-UHFFFAOYSA-N
C08296,ASNFTDCKZKHJSW-REOHCLBHSA-N
C01488///C08346,ASNHGEVAWNWCRQ-VPENINKCSA-N
C10078,ASOIXDIITRKTOX-UHFFFAOYSA-N
C07269///C07695,ASPOIVQEUUCDQT-UHFFFAOYSA-N
C11879,ASPVQUYRFYUDSC-CMKODMSKSA-N
C11123,ASRAWSBMDXVNLX-UHFFFAOYSA-N
C01390///C17628,ASUAYTHWZCLXAN-UHFFFAOYSA-N
C19451,ASVDRLYVNFOSCI-UHFFFAOYSA-N
C12244,ASVKKRLMJCWVQF-UHFFFAOYSA-N
C04102,ASWBNKHCZGQVJV-HSZRJFAPSA-O
C19530,ASWVTGNCAZCNNR-UHFFFAOYSA-N
C19333,ASWYYIAZATTZLB-UHFFFAOYSA-N
C14806,ASZHPHJDCUIIBF-RJXQQRCHSA-N
C10643,ATBZZQPALSPNMF-UHFFFAOYSA-N
C19759,ATCICVFRSJQYDV-IFJQPPEWSA-N
